the	这个、这些
be	是、存在
a	一、每一
to	目的、终点
of	的
and	和
in	在…内
have	有
that	那
it	它
for	为了…、因为…
on	在…上、持续
they	他们
you	你
with	伴随
as	作为、既然、随着、就像
their	他们的
by	方式、到…为止
not	不、没有
he	他
from	从…、起点
at	在…位置
will	将、会
more	更多的
do	做
we	我们
passage	段落、通道
this	这
or	或者、否则
can	能
I	我
one	一个
but	但是
question	问题
people	人民、民族
what	什么
there	那里
well	好、井、涌出
about	关于
answer	回答
make	制作、使得
than	比
his	他的
time	时间
say	说、说明
work	工作
which	哪个、什么样的
when	当
should	应该
part	部分
your	你的
use	使用
all	一切
follow	跟随
she	她
who	谁
each	每个
some	一些
other	其他
if	如果、是否
year	年
write	写
new	新的
section	部分、地段
its	它的
word	说话、单词
mark	标记
may	可能、祝
take	拿走、携带
many	很多
most	最多的、大多数的
read	读
up	在...上、完成
her	她的
only	仅仅
would	愿意
go	去
hear	听到
give	给
base	基础、基地
no	否定
so	因此
get	得到
two	二
student	学生
our	我们的
out	出去、外面
just	只、仅仅
child	孩子
how	如何
find	发现
way	方式
into	进入内部
because	因为
sheet	被单、（一）张、纸
man	男人
like	喜欢、像
through	通过、穿过
woman	女人
school	学校
think	认为
world	世界
choice	选择
change	改变
direction	方向、指令
much	许多的、非常
life	生命、人生
long	长
study	学习
need	需要
first	第一
help	帮助
four	四
job	工作
learn	学习、了解
high	高的、高
now	现在
good	好的、货物
over	在…上方、结束
then	然后
minute	分钟、微小的
after	在…之后
live	住、生活
know	知道
line	排队、线
these	这些、这些人
become	成为、适宜
author	作者
could	能够
even	甚至
also	也
come	来
such	这样的
mean	意思是、意味着
letter	信件
see	看
three	三
those	那些
end	结束
once	曾经、一次
company	公司、陪伴
conversation	对话
problem	问题
university	大学
human	人
state	陈述、状态
want	想要
must	必须
food	食物
country	国家
choose	选择
any	任何
my	我的
day	日子
less	更少
accord	协议、符合
show	展示、展现
both	两者
social	社会的、交际的
very	非常
great	巨大的
thing	事情
information	信息
look	看
too	太…、也
business	商业
between	在…之间
research	研究
before	在…之前
number	数字
single	单一的
own	拥有
feel	感觉
family	家庭
often	经常
old	老的
parent	父母
increase	增加
paragraph	段落
provide	提供
few	很少
home	家
while	当…时、而、尽管
different	不同的
point	点、指
last	最后的、持续
text	文本
correspond	相符合、相当
education	教育
place	放置、地点
pay	支付
language	语言、风格
still	仍然
keep	保持
where	哪里
book	预定、书籍
government	政府
college	大学
second	第二的、次等的
listen	听
why	为什么
system	系统
put	放
blank	空白的、失色的
might	可能
result	结果
try	尝试
money	钱
ask	问
seem	似乎
speak	说
news	新闻
example	例子
same	同样的
important	重要的
right	正确的、权利
report	报告
believe	相信
computer	电脑
public	公众的
health	健康
far	远的
young	年轻的
large	大的
call	打电话
city	城市
develop	发展
start	开始
another	另一个
centre	中心、中央
idea	想法
during	在…期间
science	科学
allow	允许
age	年龄
leave	离开
every	每个
talk	说
require	需要、要求
car	车
statement	声明
society	社会
short	短
cause	造成
down	在…下面、情绪低落
technology	技术、工艺
grow	成长、增长
sentence	句子、判决
without	没有
hour	小时
back	背面、后退
economic	经济上的
big	大
begin	开始
lead	带领
build	建造
early	早期的
off	关闭、不在原处
spend	花
little	少、小
bank	银行
hard	困难的
cost	花费
class	班级
group	小组
price	价格
effect	效果
comprehension	理解
today	在今天、现今
tell	告诉
set	设定
something	某事
play	玩、扮演、戏剧
likely	很可能的、大概
turn	翻转
course	课程
buy	购买
understand	理解
offer	提供
service	服务、公共设施
small	小的
product	产品
experience	经历
suggest	建议
decide	决定
test	测试
scientist	科学家
bring	带来
since	自从、因为、既然
however	但是、然而
person	人
teacher	教师
around	周围、环绕
whether	是否
future	未来
reason	理由
view	景观
water	水
improve	改进、提高
care	关心、在意
benefit	益处、好处
low	低的
